FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6049,California,Modoc,2013,,,6,6,32.3
6051,California,Mono,2013,3,1.8,8.8,8.8,16.2
6053,California,Monterey,2013,18.7,2.9,5.9,5.9,24.5
6055,California,Napa,2013,11.5,2.7,6.1,6.1,16.6
6057,California,Nevada,2013,6.7,1.8,5.9,5.9,17.4
6059,California,Orange,2013,13.8,2.9,6.4,6.4,17.9
6061,California,Placer,2013,7.3,2.5,5.7,5.7,9.9
6063,California,Plumas,2013,3.1,1.4,5.3,5.3,21.9
6065,California,Riverside,2013,17.6,3.7,6.5,6.5,23
6067,California,Sacramento,2013,12.1,3.1,6.9,6.9,24.9
6069,California,San Benito,2013,13,2.1,6,6,17.6
6071,California,San Bernardino,2013,18.7,4,7.1,7.1,26.2
6073,California,San Diego,2013,14.5,3.2,6.6,6.6,19.2
6075,California,San Francisco,2013,14.8,2.9,7,7,16
6077,California,San Joaquin,2013,18.6,3.3,6.9,6.9,25
6079,California,San Luis Obispo,2013,9.5,2.7,6,6,17.5
6081,California,San Mateo,2013,10.8,2.8,6.7,6.7,10
6083,California,Santa Barbara,2013,18,3,6.2,6.2,21.1
6085,California,Santa Clara,2013,12.7,2.7,6.7,6.7,12.6
6087,California,Santa Cruz,2013,14.2,2.8,5.8,5.8,18.5
6089,California,Shasta,2013,11.5,3.2,6.2,6.2,25.3
6091,California,Sierra,2013,,,,,19.8
6093,California,Siskiyou,2013,14.4,2.9,7.4,7.4,31.6
6095,California,Solano,2013,13.2,3.1,7.1,7.1,18.4
6097,California,Sonoma,2013,11.7,3.2,5.8,5.8,15.9
6099,California,Stanislaus,2013,20.3,3.7,6.4,6.4,31.6
6101,California,Sutter,2013,15.7,2.9,5.8,5.8,24.5
6103,California,Tehama,2013,18.6,4.1,5.5,5.5,27.6
6105,California,Trinity,2013,,2.5,5,5,33.3
6107,California,Tulare,2013,22.5,4.1,6.2,6.2,33.7
6109,California,Tuolumne,2013,8.4,2.6,4.7,4.7,24.3
6111,California,Ventura,2013,12.9,3,6.5,6.5,16.4
6113,California,Yolo,2013,12.1,2.8,5.3,5.3,20.5
6115,California,Yuba,2013,16.2,3,6.2,6.2,27
6001,California,Alameda,2014,14.5,3,3.2,7.2,17.3
6003,California,Alpine,2014,,,,,29.1
6005,California,Amador,2014,17.5,4,4.2,5.3,18.5
6007,California,Butte,2014,17.3,4.5,4.5,5.9,27.1
6009,California,Calaveras,2014,21.4,4.3,4.3,5.5,20.9
6011,California,Colusa,2014,,2.9,2.6,5.5,20.2
6013,California,Contra Costa,2014,13.8,3.3,3.4,6.8,14.5
6015,California,Del Norte,2014,15.9,6.3,4,5.6,32.4
6017,California,El Dorado,2014,9.7,2.7,3.1,6.3,12.2
6019,California,Fresno,2014,23.4,4.2,3.7,7.4,40.1
6021,California,Glenn,2014,28.3,,3.1,5.1,26.3
6023,California,Humboldt,2014,12,4.1,3.9,5.7,27.2
6025,California,Imperial,2014,29,4.6,3.8,6,33
6027,California,Inyo,2014,,3.4,,8.9,19.2
6029,California,Kern,2014,23.7,4.7,4.2,7.2,33.3
6031,California,Kings,2014,26.9,5.4,4.3,6.5,27.9
6033,California,Lake,2014,20.4,4.9,4.5,6,31.5
6035,California,Lassen,2014,18.2,4.2,4.1,6.7,22.4
6037,California,Los Angeles,2014,22.4,3.8,3.7,7.3,27.3
6039,California,Madera,2014,31.1,4.3,4.6,6.4,35.4
6041,California,Marin,2014,9.7,3.4,3,6.2,10.3
6043,California,Mariposa,2014,16.5,3.2,3.4,5.3,25.1
6045,California,Mendocino,2014,16,4.2,4,6.2,31.4
6047,California,Merced,2014,23,4.6,4.2,6.5,35.6
6049,California,Modoc,2014,,,,6.3,31.3
6051,California,Mono,2014,,,3.1,8.1,17
6053,California,Monterey,2014,24,3.9,4.6,5.8,27.1
6055,California,Napa,2014,16.7,3.4,4,6.1,14
6057,California,Nevada,2014,9.2,3,3,5.8,17.6
6059,California,Orange,2014,14.5,3.1,3.2,6.5,18
6061,California,Placer,2014,8.7,2.7,2.9,5.7,11.6
6063,California,Plumas,2014,,4.1,3.4,6.2,23.5
6065,California,Riverside,2014,19.5,4,4.1,6.5,24.8
6067,California,Sacramento,2014,13.9,3.5,3.7,6.9,26.8
6069,California,San Benito,2014,18.1,3.6,2.6,6.2,18.1
6071,California,San Bernardino,2014,19.4,4.2,4.1,7.1,28.2
6073,California,San Diego,2014,16,3.5,3.7,6.6,19.9
6075,California,San Francisco,2014,16.4,3.1,3.1,7.1,16.3
6077,California,San Joaquin,2014,22,3.8,4,6.9,24.5
6079,California,San Luis Obispo,2014,11.6,3.1,3.5,6,16.7
6081,California,San Mateo,2014,12,3,3.2,6.7,11.1
6083,California,Santa Barbara,2014,21,3.7,3.3,6.1,21.2
6085,California,Santa Clara,2014,13.5,2.9,2.7,6.8,12.6
6087,California,Santa Cruz,2014,16.8,3.4,3.7,5.8,17.9
6089,California,Shasta,2014,15.8,4.1,4.1,6.2,25.9
6091,California,Sierra,2014,,,,,19.5
6093,California,Siskiyou,2014,19.5,4.6,4.9,7,32.2
6095,California,Solano,2014,17.4,4,3.3,7,18.7
6097,California,Sonoma,2014,14.4,3.9,3.4,5.8,15.2
6099,California,Stanislaus,2014,22.3,4.4,3.9,6.3,27.3
6101,California,Sutter,2014,19,4.3,3.3,5.7,24.1
6103,California,Tehama,2014,24.3,5.2,5,5.5,32
6105,California,Trinity,2014,16.7,4.6,9.2,4.8,34.1
6107,California,Tulare,2014,24.8,4.9,4.5,6.2,40.5
6109,California,Tuolumne,2014,13.2,3.7,3.7,4.8,20.8
6111,California,Ventura,2014,16.3,3.7,3.6,6.4,17.7
6113,California,Yolo,2014,16.7,3.6,3.2,5.4,17.6
6115,California,Yuba,2014,22.3,4.3,5.3,6.1,30.6
6001,California,Alameda,2015,14.5,3,3.2,7.250089991,15.4
6003,California,Alpine,2015,,,,,31.9
6005,California,Amador,2015,17.5,4,4.2,5.867475974,22.1
6007,California,Butte,2015,17.3,4.5,4.5,5.814556561,25
6009,California,Calaveras,2015,21.4,4.3,4.3,5.156683856,21.8
6011,California,Colusa,2015,,2.9,2.6,5.899104963,20
6013,California,Contra Costa,2015,13.8,3.3,3.4,6.766302827,13.4
6015,California,Del Norte,2015,15.9,6.3,4,5.172413793,32.6
6017,California,El Dorado,2015,9.7,2.7,3.1,6.348167539,13.8
6019,California,Fresno,2015,23.4,4.2,3.7,7.522024335,42
6021,California,Glenn,2015,28.3,,3.1,5.10238335,28.5
6023,California,Humboldt,2015,12,4.1,3.9,5.484611851,25.6
6025,California,Imperial,2015,29,4.6,3.8,5.960113439,30.9
6027,California,Inyo,2015,,3.4,,8.676092545,23.1
6029,California,Kern,2015,23.7,4.7,4.2,7.095431286,30.5
6031,California,Kings,2015,26.9,5.4,4.3,6.392894347,28
6033,California,Lake,2015,20.4,4.9,4.5,5.996822875,33.7
6035,California,Lassen,2015,18.2,4.2,4.1,6.583793739,19.9
6037,California,Los Angeles,2015,22.4,3.8,3.7,7.234957165,27.4
6039,California,Madera,2015,31.1,4.3,4.6,6.368170746,32.2
6041,California,Marin,2015,9.7,3.4,3,6.118557568,10.3
6043,California,Mariposa,2015,16.5,3.2,3.4,6.243996158,25.5
6045,California,Mendocino,2015,16,4.2,4,6.070328542,28.9
6047,California,Merced,2015,23,4.6,4.2,6.546028271,34.1
6049,California,Modoc,2015,,,,6.686930091,33.4
6051,California,Mono,2015,,,3.1,7.864164433,18.7
6053,California,Monterey,2015,24,3.9,4.6,5.761846364,24.4
6055,California,Napa,2015,16.7,3.4,4,6.12244898,13.7
6057,California,Nevada,2015,9.2,3,3,5.789938217,17.8
6059,California,Orange,2015,14.5,3.1,3.2,6.464124564,18.8
6061,California,Placer,2015,8.7,2.7,2.9,5.805713442,9.5
6063,California,Plumas,2015,,4.1,3.4,5.657237937,24.9
6065,California,Riverside,2015,19.5,4,4.1,6.513148505,24.2
6067,California,Sacramento,2015,13.9,3.5,3.7,6.841219118,25.9
6069,California,San Benito,2015,18.1,3.6,2.6,6.068268015,18.6
6071,California,San Bernardino,2015,19.4,4.2,4.1,7.103734149,26.7
6073,California,San Diego,2015,16,3.5,3.7,6.580560214,19.4
6075,California,San Francisco,2015,16.4,3.1,3.1,7.097715899,14.4
6077,California,San Joaquin,2015,22,3.8,4,6.971075084,26.4
6079,California,San Luis Obispo,2015,11.6,3.1,3.5,5.74919342,16.1
6081,California,San Mateo,2015,12,3,3.2,6.704146382,10
6083,California,Santa Barbara,2015,21,3.7,3.3,6.038607098,20.9
6085,California,Santa Clara,2015,13.5,2.9,2.7,6.792575635,12.9
6087,California,Santa Cruz,2015,16.8,3.4,3.7,5.781256647,18.9
6089,California,Shasta,2015,15.8,4.1,4.1,5.984736913,28.3
6091,California,Sierra,2015,,,,6.962025317,20.4
6093,California,Siskiyou,2015,19.5,4.6,4.9,7.213409159,28
6095,California,Solano,2015,17.4,4,3.3,6.958586125,17.8
6097,California,Sonoma,2015,14.4,3.9,3.4,5.677655678,16
6099,California,Stanislaus,2015,22.3,4.4,3.9,6.329180374,30.5
6101,California,Sutter,2015,19,4.3,3.3,5.756628692,25.4
6103,California,Tehama,2015,24.3,5.2,5,5.526992288,28.7
6105,California,Trinity,2015,16.7,4.6,9.2,4.670658683,34.6
6107,California,Tulare,2015,24.8,4.9,4.5,6.166836814,39.8
6109,California,Tuolumne,2015,13.2,3.7,3.7,4.699017199,21.6
6111,California,Ventura,2015,16.3,3.7,3.6,6.397854136,18
6113,California,Yolo,2015,16.7,3.6,3.2,5.367022187,17.9
6115,California,Yuba,2015,22.3,4.3,5.3,5.86585913,28
6001,California,Alameda,2016,13,3.4,3.3,7.24314432,14.3
6003,California,Alpine,2016,15.6,4.2,4.1,,28.2
6005,California,Amador,2016,12.7,3.5,3.5,6.313645621,18.6
6007,California,Butte,2016,15.2,4.2,4.2,5.810629485,24.3
6009,California,Calaveras,2016,11.8,3.3,3.5,4.827586207,20.6
6011,California,Colusa,2016,20.8,4.3,4,6.047879042,19.9
6013,California,Contra Costa,2016,13.8,3.6,3.5,6.737790314,13.8
6015,California,Del Norte,2016,17.2,4.3,4,4.892703863,31
6017,California,El Dorado,2016,11.6,3.4,3.4,6.272401434,13.1
6019,California,Fresno,2016,21.8,4.3,4.2,7.613530116,38
6021,California,Glenn,2016,19.5,4.3,4.1,5.852156058,23.7
6023,California,Humboldt,2016,14.7,4.1,4.1,5.467879688,23.9
6025,California,Imperial,2016,27.8,4.8,4.2,5.825509503,31.3
6027,California,Inyo,2016,14.1,3.7,3.8,8.403908795,20.2
6029,California,Kern,2016,20.8,4.2,4,7.123828414,32.9
6031,California,Kings,2016,21.6,4.4,4,6.380135842,33.8
6033,California,Lake,2016,17.9,4.3,4.2,6.060011767,32.3
6035,California,Lassen,2016,14.1,3.6,3.6,6.917086578,20.3
6037,California,Los Angeles,2016,20.6,3.9,3.6,7.189267649,26.7
6039,California,Madera,2016,22.8,4.5,4.2,6.393907191,30.7
6041,California,Marin,2016,10.7,3.1,3.2,6.230619042,10.1
