"","County","FIPS","Year","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty","Population","LandArea","Density","LBL_Label","Poverty_Label","PoorHealthLabel"
"182","Monterey",6053,2013,2.51322982554467,1.5,3.40666566781183,6.47769165372792,18.7,2.9,5.9,5.9,24.5,426453,3280.59,129.992775689739,0,1,1
"183","Monterey",6053,2014,2.89614159524226,1.5,3.3870062442817,3.45370781434686,24,3.9,4.6,5.8,27.1,429797,3280.59,131.012104529978,0,1,1
"184","Monterey",6053,2015,3.29864813346603,1.5,3.92661537712421,6.49979297631588,24,3.9,4.6,5.761846364,24.4,436242,3280.59,132.976690168537,0,1,1
"185","Monterey",6053,2016,3.31711014805903,1.5,4.23179428283813,13.7400575736557,19.9,4.1,3.8,5.72920934,25.2,441129,3280.59,134.466361233802,0,1,1
"186","Napa",6055,2010,1.01815395549238,1.5,0.241333883149579,1.24974428997021,13,3.5,4.1,6,11,136237,748.36,182.047410337271,0,0,0
"187","Napa",6055,2011,1.01637324099185,1.5,0.255530503371979,1.75521626497664,16,3.8,4.3,5.69,11.5,137232,748.36,183.376984339088,0,0,0
"188","Napa",6055,2012,0.876289806084327,1.5,0.259555170249021,0.536958721452551,14.7,3.7,4.1,6,14.7,138655,748.36,185.278475599979,0,0,0
"189","Napa",6055,2013,1.02473037993016,1.5,0.242819047771261,2.38460893854749,11.5,2.7,6.1,6.1,16.6,139298,748.36,186.137687743867,0,0,0
"190","Napa",6055,2014,1.03561195275178,1.5,0.23354325079066,0.774268667847488,16.7,3.4,4,6.1,14,140646,748.36,187.938959858891,0,0,0
"191","Napa",6055,2015,1.04699107749006,1.5,0.237255343271048,0.926412213740458,16.7,3.4,4,6.12244898,13.7,141546,748.36,189.141589609279,0,0,0
"192","Napa",6055,2016,1.08563873604011,1.5,0.200394888455014,0.81906416615579,14.2,3.5,3.4,6.100674813,12,142269,748.36,190.107702175424,0,0,0
"193","Nevada",6057,2010,1.30632871313808,NA,0.239128886482434,0.757142857142857,11,2.8,3.4,6,12,98517,957.77,102.860812094762,0,0,0
"194","Nevada",6057,2011,1.25472267703643,1.5,0.238442211055276,0.5,10.1,2.7,2.9,6.35,13.5,98392,957.77,102.730300594088,0,0,0
"195","Nevada",6057,2012,1.16144773394714,1.5,0.244433122662195,0.5,10.3,2.5,2.7,6.1,17.3,98068,957.77,102.392014784343,0,0,0
"196","Nevada",6057,2013,1.09274707853972,1.5,0.256350425622712,0.5,6.7,1.8,5.9,5.9,17.4,97727,957.77,102.035979410506,0,0,0
"197","Nevada",6057,2014,1.23474476088125,NA,0.248039506069834,1.36612291631588,9.2,3,3,5.8,17.6,98354,957.77,102.690625097884,0,0,0
"198","Nevada",6057,2015,1.18061645314524,1.5,0.931329113924051,NA,9.2,3,3,5.789938217,17.8,98190,957.77,102.519394009,0,0,0
"199","Nevada",6057,2016,1.25048545168334,1.5,0.220825990167888,2.80875582168995,11.5,3.4,3.5,5.711263882,17.6,98552,957.77,102.89735531495,0,0,0
"200","Orange",6059,2010,1.75334196197708,1.5,0.535834073893583,3.86848548646303,15,3,3.1,6,12,3014962,790.57,3813.65596974335,0,0,0
"201","Orange",6059,2011,1.31243671827295,1.5,0.530141384184455,2.23968001806413,15.1,3.1,3.1,6.2,13.4,3048993,790.57,3856.70212631392,0,0,0
"202","Orange",6059,2012,1.07419098165334,1.5,0.461771026431329,4.93311093862491,15.2,3.1,3.2,6.3,16.4,3084036,790.57,3901.02837193417,0,0,0
"203","Orange",6059,2013,1.44609843369538,1.5,1.82790636486063,2.99816355350747,13.8,2.9,6.4,6.4,17.9,3110802,790.57,3934.88495642385,0,0,0
"204","Orange",6059,2014,1.28552736333397,1.5,1.68002790548581,4.18427569087923,14.5,3.1,3.2,6.5,18,3137744,790.57,3968.96416509607,0,0,0
"205","Orange",6059,2015,1.90835074827243,1.5,1.65174739304397,2.3188122307152,14.5,3.1,3.2,6.464124564,18.8,3161218,790.57,3998.65666544392,0,0,0
"206","Orange",6059,2016,1.90495958190413,1.5,1.49308541899288,2.64691288052297,12.6,3.4,3.3,6.452573495,17.9,3181371,790.57,4024.14839925623,0,0,0
"207","Placer",6061,2010,1.01258652514998,NA,0.229417367308077,0.50601810733835,8,3.3,3.3,6,7,350052,1407.01,248.791408731992,0,0,0
"208","Placer",6061,2011,1.02431901184715,1.5,0.239335638550663,1.08827586206897,8.2,3.3,3.2,5.72,7.6,355482,1407.01,252.650656356387,0,0,0
"209","Placer",6061,2012,1.01331291003959,1.5,0.235373120394759,0.506201713113765,9.3,3.1,3.1,5.7,10.7,359890,1407.01,255.783540984073,0,0,0
"210","Placer",6061,2013,1,NA,0.229200737121797,2.91313246885329,7.3,2.5,5.7,5.7,9.9,364242,1407.01,258.87662489961,0,0,0
"211","Placer",6061,2014,1,1.5,0.223082108120335,1.78935833221731,8.7,2.7,2.9,5.7,11.6,368211,1407.01,261.697500373132,0,0,0
"212","Placer",6061,2015,1.15452345092469,1.5,0.239860923076923,0.281517314086449,8.7,2.7,2.9,5.805713442,9.5,370738,1407.01,263.493507508831,0,0,0
"213","Placer",6061,2016,1,1.5,0.200912780295188,0.741606391925988,10.9,3.3,3.5,5.749563018,9.7,376092,1407.01,267.298739881024,0,0,0
"214","Plumas",6063,2010,7.04126148705096,NA,0.207510704440143,2.1844882796149,2,4.7,3.3,6,17,19982,2553.04,7.82674772036474,0,0,0
"215","Plumas",6063,2011,3.7019221714444,NA,0.196802171893977,5.16783923494443,5.6,3.7,3.2,6.13,19.9,19927,2553.04,7.80520477548335,0,0,0
"216","Plumas",6063,2012,8.5234791934792,NA,0.273070017953321,10.2698962536023,6.8,3.2,3,6.2,22.3,19883,2553.04,7.78797041957823,0,1,0
"217","Plumas",6063,2013,1.72470629248736,NA,0.261281299946723,5.5406860670194,3.1,1.4,5.3,5.3,21.9,19769,2553.04,7.7433177701877,0,1,0
"218","Plumas",6063,2014,3.38803952991453,NA,0.257870331950207,17.7316856780735,NA,4.1,3.4,6.2,23.5,19692,2553.04,7.71315764735374,0,1,NA
"219","Plumas",6063,2015,4.43984460694698,NA,0.161416837782341,16.775906374502,NA,4.1,3.4,5.657237937,24.9,19586,2553.04,7.67163851721869,0,1,NA
"220","Plumas",6063,2016,3.31,NA,0.241960381237152,8.19176192209683,13.9,3.8,3.9,6.148590948,21.6,19494,2553.04,7.63560304578072,0,1,0
"221","Riverside",6065,2010,1.60784912458588,1.5,2.56149465388439,8.1947787699019,17,3.7,3.7,6,16,2196137,7206.47,304.745180372637,0,0,0
"222","Riverside",6065,2011,1.35498435497119,1.5,2.46369667503942,7.96706819535672,18.5,3.8,3.9,6.35,17,2228044,7206.47,309.172729505569,0,0,1
"223","Riverside",6065,2012,1.29665264113261,1.5,2.5715098525151,6.38317800937552,19.2,3.8,3.9,6.5,23.4,2253317,7206.47,312.67971697655,0,1,1
"224","Riverside",6065,2013,1.44204395556392,1.5,3.06340981771381,9.28997580575751,17.6,3.7,6.5,6.5,23,2276765,7206.47,315.933459793769,0,1,0
"225","Riverside",6065,2014,1.83725902800836,1.5,2.74251881988424,8.2361046684603,19.5,4,4.1,6.5,24.8,2305796,7206.47,319.96192310521,0,1,1
"226","Riverside",6065,2015,1.65703848546376,1.5,3.10799312633352,8.29522705058418,19.5,4,4.1,6.513148505,24.2,2329256,7206.47,323.217331092754,0,1,1
"227","Riverside",6065,2016,1.80629884451533,1.5,3.22112797534435,7.03807250224551,18.1,4.2,4,6.546531295,23.5,2360727,7206.47,327.584379037171,0,1,1
"228","Sacramento",6067,2010,2.22548866617439,1.5,0.601117531132631,1.41514723007819,13,3.5,4,7,18,1421628,964.64,1473.73942610715,1,0,0
"229","Sacramento",6067,2011,2.34460894664111,1.5,0.709724538013214,1.93600418802509,13.5,3.5,3.9,6.82,19,1433792,964.64,1486.34931166031,1,0,0
"230","Sacramento",6067,2012,3.69031365688459,1.43456086674003,0.661080991787664,0.626084343609797,13.5,3.5,3.9,6.8,23.6,1445230,964.64,1498.20658483994,0,1,0
"231","Sacramento",6067,2013,1.73931770384156,1.5,0.780802381869768,0.624310426762728,12.1,3.1,6.9,6.9,24.9,1455602,964.64,1508.958782551,1,1,0
"232","Sacramento",6067,2014,1.74643021046002,1.5,0.799190221678709,0.500296814778718,13.9,3.5,3.7,6.9,26.8,1473817,964.64,1527.84147453972,1,1,0
"233","Sacramento",6067,2015,1.47206855114977,1.5,0.483449743285261,0.584307185362327,13.9,3.5,3.7,6.841219118,25.9,1489952,964.64,1544.56792171173,1,1,0
"234","Sacramento",6067,2016,1.42232979124447,1.5,0.689688866743772,3.16180317265942,15.9,3.9,3.8,6.778178867,23.8,1506677,964.64,1561.90599601924,0,1,0
"235","San Benito",6069,2010,1.58817232512987,1.5,1.34178309363076,1.61781925778441,16,2,3.2,5,12,55401,1388.71,39.8938583289528,0,0,0
"236","San Benito",6069,2011,1.29754016840896,1.5,1.13370457902511,7.46221556886228,15.7,2.7,2.2,5.37,14.2,55894,1388.71,40.2488640536901,0,0,0
"237","San Benito",6069,2012,2.95351137487636,1.5,1.85414881127091,1.14769910755826,17.6,3.1,2.6,5.7,17.4,56333,1388.71,40.5649847700384,0,0,0
"238","San Benito",6069,2013,2.54779487179487,NA,0.258911295743594,17.59,13,2.1,6,6,17.6,56750,1388.71,40.8652634459318,0,0,0
"239","San Benito",6069,2014,2.35130830489192,NA,1.04835708298407,3.57890173410405,18.1,3.6,2.6,6.2,18.1,57166,1388.71,41.1648220290773,0,0,1
"240","San Benito",6069,2015,2.4148502994012,1.5,1.53935456831517,6.46747048903879,18.1,3.6,2.6,6.068268015,18.6,57584,1388.71,41.4658207977187,0,0,1
"241","San Benito",6069,2016,2.82724786324786,1.5,0.296119615346875,6.48429090909091,17.6,3.9,3.6,6.359770752,19.8,58014,1388.71,41.7754606793355,0,0,0
"242","San Bernardino",6071,2010,2.11933426231797,1.5,3.22114370537176,3.3560336346018,19,4,3.9,7,17,2044228,20056.92,101.921331889443,1,0,1
"243","San Bernardino",6071,2011,1.83842737044106,1.5,3.00430025266827,3.19535554904409,19.5,4.1,4.1,6.97,20.6,2064734,20056.92,102.943722166714,1,1,1
"244","San Bernardino",6071,2012,2.22999312580865,1.5,3.14212593033952,2.56758033927518,19.6,4.2,4,7,24.7,2077560,20056.92,103.58320220652,1,1,1
"245","San Bernardino",6071,2013,2.18638587819566,1.5,3.79546159964971,4.45239698300482,18.7,4,7.1,7.1,26.2,2092149,20056.92,104.310582083391,1,1,1
"246","San Bernardino",6071,2014,1.97186504924231,1.5,3.6625614577607,3.64139469006302,19.4,4.2,4.1,7.1,28.2,2111913,20056.92,105.295977647615,1,1,1
"247","San Bernardino",6071,2015,2.62724714905674,1.5,3.72578882838352,6.166683608681,19.4,4.2,4.1,7.103734149,26.7,2129851,20056.92,106.190332314234,1,1,1
"248","San Bernardino",6071,2016,2.51645802828528,1.5,2.85347580904352,3.74031426909415,20.6,4.3,3.8,7.175817353,28.2,2147933,20056.92,107.091866547805,1,1,1
"249","San Diego",6073,2010,1.34710258839038,1.49983358489537,0.302853927732423,2.72804785104871,15,3.3,3.4,6,15,3100529,4206.63,737.057692261977,0,0,0
"250","San Diego",6073,2011,1.48958333669396,1.5,0.309840560556283,2.21282743244295,15.1,3.3,3.4,6.41,16.6,3135806,4206.63,745.443740000903,0,0,0
"251","San Diego",6073,2012,1.03667982202002,1.5,0.290263095671987,2.09862930446337,15.5,3.4,3.4,6.5,19.1,3174446,4206.63,754.629240032996,0,0,0
"252","San Diego",6073,2013,1.07121406625722,1.5,0.287325750776582,5.66875294149045,14.5,3.2,6.6,6.6,19.2,3208946,4206.63,762.830579347364,0,0,0
"253","San Diego",6073,2014,1.18676388891261,1.5,0.249716744813116,5.23778848872287,16,3.5,3.7,6.6,19.9,3248547,4206.63,772.244528280357,0,0,0
"254","San Diego",6073,2015,1.09138032550874,1.5,0.341650690932704,4.15552132298596,16,3.5,3.7,6.580560214,19.4,3275084,4206.63,778.552903392977,0,0,0
"255","San Diego",6073,2016,1.22120295597968,1.5,0.436187388264125,5.17638520837292,14.3,3.4,3.6,6.568164258,18.9,3300891,4206.63,784.687742920105,0,0,0
"256","San Francisco",6075,2010,1,NA,0.23,NA,13,3,3.2,7,13,809174,46.87,17264.2201834862,1,0,0
"257","San Francisco",6075,2011,1,3.29241523180187,0.23,0.977689304040788,14.9,3.1,3.4,7.07,13.6,819897,46.87,17493.0019202048,1,0,0
"258","San Francisco",6075,2012,1,NA,0.23,NA,16.4,3.1,3.3,7.1,14.7,832605,46.87,17764.1348410497,1,0,0
"259","San Francisco",6075,2013,1,NA,0.23,2.01,14.8,2.9,7,7,16,843735,46.87,18001.6001706849,1,0,0
"260","San Francisco",6075,2014,0.84,NA,0.23,0.75,16.4,3.1,3.1,7.1,16.3,853732,46.87,18214.8922551739,1,0,0
"261","San Francisco",6075,2015,1,NA,0.200007159545703,NA,16.4,3.1,3.1,7.097715899,14.4,863108,46.87,18414.9349263922,1,0,0
"262","San Francisco",6075,2016,1,NA,0.2,NA,11.2,3.2,3.1,7.089182362,13.6,871185,46.87,18587.2626413484,1,0,0
"263","San Joaquin",6077,2010,1.88896168329866,1.5,0.400312411586583,4.12408722712336,19,3.8,3.9,7,19,687827,1391.32,494.370094586436,1,0,1
"264","San Joaquin",6077,2011,1.64364752266185,1.5,0.428091055959578,2.66600573530622,19.1,3.7,4,6.73,22,694200,1391.32,498.950636805336,0,1,1
"265","San Joaquin",6077,2012,2.02558769812905,1.5,0.786209616024362,2.30395635989074,20,3.7,3.8,6.8,26,700414,1391.32,503.416899059886,0,1,1
"266","San Joaquin",6077,2013,2.33147437726847,1.5,1.86789335208481,5.36586551225171,18.6,3.3,6.9,6.9,25,705767,1391.32,507.264324526349,1,1,1
"267","San Joaquin",6077,2014,1.49504243635375,1.5,1.86114879346844,0.906223143611007,22,3.8,4,6.9,24.5,717238,1391.32,515.509013023604,1,1,1
"268","San Joaquin",6077,2015,1.74939912823799,1.5,1.84118293114191,0.831756043878022,22,3.8,4,6.971075084,26.4,727547,1391.32,522.918523416612,1,1,1
"269","San Joaquin",6077,2016,2.04553436991332,1.5,1.73524706003286,4.62714868888953,18.5,4,3.8,7.003713071,27.5,738873,1391.32,531.058994336314,1,1,1
"270","San Luis Obispo",6079,2010,1.77440708866932,1.5,1.18936719022978,2.21725929325379,12,2.6,4.4,6,12,269013,3298.56,81.5546784051222,0,0,0
"271","San Luis Obispo",6079,2011,1.55109314826701,1.5,1.04083488222909,3.24567640356329,11.9,3.1,4,5.99,12.8,270344,3298.56,81.9581878152891,0,0,0
"272","San Luis Obispo",6079,2012,2.17334982492838,1.5,1.09393648687933,5.65056335870847,11.2,3,3.7,6.2,15.1,272608,3298.56,82.6445479239426,0,0,0
"273","San Luis Obispo",6079,2013,1.48180040776716,NA,1.57805696740248,3.50811964802457,9.5,2.7,6,6,17.5,273494,3298.56,82.9131499805976,0,0,0
"274","San Luis Obispo",6079,2014,1.9352224603963,1.5,2.08270038652678,2.96441258729547,11.6,3.1,3.5,6,16.7,276075,3298.56,83.6956126309662,0,0,0
"275","San Luis Obispo",6079,2015,1.46021279558569,NA,1.88882602693549,7.6167032967033,11.6,3.1,3.5,5.74919342,16.1,276844,3298.56,83.9287446643384,0,0,0
"276","San Luis Obispo",6079,2016,2.12563563579787,1.5,1.93636472795497,0.202970297029703,13.1,3.5,3.6,5.872982158,15.6,278917,3298.56,84.557200717889,0,0,0
"277","San Mateo",6081,2010,1.00034333077887,1.5,0.444723649654056,1.90846153846154,12,3.1,2.7,6,7,720496,448.41,1606.7795098236,0,0,0
"278","San Mateo",6081,2011,1.0021279487535,3.63981971527877,0.512334711876298,0.738912917559935,13.3,3,2.8,6.55,8,729292,448.41,1626.39548627372,0,0,0
"279","San Mateo",6081,2012,1.0080063766563,1.5,0.501705145281437,1.23946165356085,14.1,3.2,2.8,6.6,8.5,740568,448.41,1651.54211547468,0,0,0
"280","San Mateo",6081,2013,1.32156451253803,1.5,2.17795292237922,0.50360824742268,10.8,2.8,6.7,6.7,10,748761,448.41,1669.81334046966,0,0,0
"281","San Mateo",6081,2014,1.90486068907484,1.5,2.66270386560655,0.801289507208865,12,3,3.2,6.7,11.1,756371,448.41,1686.78441604781,0,0,0
"282","San Mateo",6081,2015,1.7311171020195,1.49526172394277,2.46765299977815,0.662087916343919,12,3,3.2,6.704146382,10,764379,448.41,1704.6430721884,0,0,0
"283","San Mateo",6081,2016,1.3116606724127,1.5,1.44115881614497,0.86949322061713,11.6,3,3,6.698893971,9.8,768122,448.41,1712.99034365871,0,0,0
"284","Santa Barbara",6083,2010,1.12090581063226,1.5,0.715005730302947,2.07322314721609,19,3.8,3.5,6,15,423552,2735.08,154.859090044898,0,0,1
"285","Santa Barbara",6083,2011,1.1933332949452,1.5,0.456793737168371,1.91496174605297,19.9,3.7,2.9,6.4,15.7,425335,2735.08,155.510990537754,0,0,1
"286","Santa Barbara",6083,2012,1.1105022741995,1.5,0.788333182560623,5.0668822005203,21.8,3.6,2.8,6.4,21.7,430287,2735.08,157.321540869006,0,1,1
"287","Santa Barbara",6083,2013,1.19421245748261,NA,0.78141051613349,2.70354795928858,18,3,6.2,6.2,21.1,435241,2735.08,159.132822440294,0,1,0
"288","Santa Barbara",6083,2014,1.33270845899178,1.5,1.07006993316514,1.99600229862546,21,3.7,3.3,6.1,21.2,440129,2735.08,160.919973090367,0,1,1
"289","Santa Barbara",6083,2015,1.53395032168869,1.5,1.140112573523,2.85221528265479,21,3.7,3.3,6.038607098,20.9,444900,2735.08,162.664346198283,0,1,1
"290","Santa Barbara",6083,2016,1.63748837576544,1.5,1.12539278823264,1.66687645148042,16.8,3.9,3.6,6.022156538,22.6,448353,2735.08,163.926832121912,0,1,0
"291","Santa Clara",6085,2010,0.999798997708876,1.5,1.96984567899577,3.96696206932296,14,3,2.8,6,10,1790301,1290.1,1387.72265715836,0,0,0
"292","Santa Clara",6085,2011,1.01009427708827,1.84622468980266,1.98591711281795,1.59457821304877,14.9,3.1,2.7,6.47,9.4,1813860,1290.1,1405.98403224556,0,0,0
"293","Santa Clara",6085,2012,0.999829202133582,1.5,1.85956076494572,3.22245990081631,14.9,3.1,2.7,6.5,13.3,1840218,1290.1,1426.41500658864,0,0,0
"294","Santa Clara",6085,2013,0.999899295065458,1.5,2.30393885580189,2.74680127720607,12.7,2.7,6.7,6.7,12.6,1866208,1290.1,1446.56073172622,0,0,0
"295","Santa Clara",6085,2014,1.04086005972874,1.5,2.13728153061275,2.05071954730835,13.5,2.9,2.7,6.8,12.6,1890929,1290.1,1465.7228121851,0,0,0
"296","Santa Clara",6085,2015,0.999871215863383,1.5,1.7377501577533,1.36661724586136,13.5,2.9,2.7,6.792575635,12.9,1915102,1290.1,1484.46011937059,0,0,0
"297","Santa Clara",6085,2016,1.53129677479269,1.5,1.93801490480292,3.63999056259376,11.4,3,2.9,6.850240827,9.3,1930215,1290.1,1496.17471513836,1,0,0
"298","Santa Cruz",6087,2010,1.14164642866966,1.5,0.329226474085165,1.27556195259386,16,3,3.6,5,14,262341,445.17,589.305209245906,0,0,0
"299","Santa Cruz",6087,2011,1.18694017626813,1.5,0.308120110807185,1.40544233929734,16.1,2.9,3.8,5.46,16.9,265183,445.17,595.689287238583,0,0,0
"300","Santa Cruz",6087,2012,1.1284226384704,1.5,0.315270574823519,2.75504918032787,16.8,3.1,3.7,5.7,19,267672,445.17,601.280409731114,0,0,0
"301","Santa Cruz",6087,2013,1.24804454965528,1.5,0.183311252737518,0.150650580329872,14.2,2.8,5.8,5.8,18.5,270416,445.17,607.444347103354,0,0,0
"302","Santa Cruz",6087,2014,2.07567931271708,1.5,0.41170147843788,0.757011266747868,16.8,3.4,3.7,5.8,17.9,271689,445.17,610.303928836175,0,0,0
"303","Santa Cruz",6087,2015,1.71349118871781,1.5,0.87652807646356,0.668399073844373,16.8,3.4,3.7,5.781256647,18.9,274697,445.17,617.060898083878,0,0,0
"304","Santa Cruz",6087,2016,1.48167069081533,1.5,0.587077871797586,1.8118375124475,14.3,3.7,3.7,5.816250384,19.1,276249,445.17,620.547206685087,0,0,0
